zip_code,median_income,population_below_poverty,unemployed_population
91914,136833,598,654
91917,-666666666,395,82
91935,106735,560,185
92007,107778,1937,198
92021,60510,13247,2505
92025,56866,9854,1163
92026,76534,4868,1402
92054,63355,4441,1587
92056,85047,3678,1279
92069,77618,4920,1117
92091,165132,116,11
92101,71077,7027,1583
92225,43822,3532,606
92236,34269,8609,4394
92252,42370,2073,476
92254,26328,2133,547
92275,24750,609,58
92283,27014,663,88
92285,35767,592,105
92310,55986,893,192
92311,46102,8841,960
92313,70200,1088,498
92315,55061,831,117
92328,90962,65,14
92332,-666666666,0,0
92335,58070,15953,3675
92339,63661,131,40
92345,51712,16685,3241
92346,67823,8636,1779
92352,89625,577,209
92354,59320,2999,632
92363,33479,1574,175
92376,59416,13854,4888
92407,72281,11903,3277
92507,54701,11028,2754
92545,48052,5394,1528
92561,51528,263,23
92585,82217,2091,560
92604,112543,2541,1121
92614,107662,3207,551
92649,101466,2957,877
92653,104571,2502,750
92656,116350,2773,1094
92673,149882,1109,621
92675,105524,2825,662
92683,67104,13987,3087
92691,118379,2574,1008
92703,65687,9294,2269
92704,76136,9836,1958
92840,75653,5661,1429
92861,164919,441,54
92866,75562,2765,233
92867,103040,4606,1166
92879,71817,6542,950
92881,119023,1938,681
93004,92074,1882,711
93015,72311,1460,282
93033,68542,12569,2957
93111,117480,1053,274
93117,70878,13167,3203
93203,40045,7033,841
93226,-666666666,4,0
93230,65674,9212,2516
93240,33793,1271,243
93242,49659,488,108
93250,38111,3544,771
93271,71929,193,58
93276,-666666666,14,0
93304,41311,12521,1977
93305,31739,14545,1929
93307,42128,24624,3812
93308,46071,12273,2705
93309,52268,11525,1972
93420,91211,1607,284
93430,67750,451,51
93433,66408,1190,285
93446,76859,3540,753
93450,59886,99,18
93452,49194,28,28
93453,50893,298,17
93454,68954,4439,977
93455,93200,2539,988
93522,-666666666,0,0
93529,100586,65,0
93543,57003,3268,586
93544,38523,289,87
93546,69702,1140,18
93602,66060,328,80
93614,72446,1128,352
93620,45257,1273,613
93622,38391,2931,743
93623,-666666666,2,0
93635,63529,5744,1849
93646,27909,4638,595
93653,83462,135,39
93654,52642,6348,1775
93669,-666666666,0,0
93710,54004,7731,1621
93727,62413,17395,2968
93907,86380,2159,819
93926,70057,900,137
93960,65108,3264,126
93962,-666666666,0,0
94020,183642,73,30
94038,110448,285,8
94041,149291,859,312
94065,173760,632,289
94070,190872,941,695
94087,168228,2542,1247
94116,119800,2576,1385
94118,132201,2608,909
94124,67094,5907,1526
94133,68423,3785,1050
94134,82810,4798,1487
94305,62515,1373,340
94404,155789,1201,639
94502,161518,449,397
94506,200726,1631,429
94510,106739,1913,514
94513,112302,3745,1881
94518,95961,2590,835
94547,110669,1399,513
94552,180681,390,378
94577,89219,3646,1369
94578,71758,6334,1155
94585,81683,2960,863
94610,104919,2218,820
94612,59773,3788,737
94702,85357,2035,459
94920,197000,261,265
94922,112244,83,81
94930,109044,790,504
94938,110789,66,21
94963,146563,0,0
95033,168723,227,226
95041,57734,11,66
95043,105625,75,9
95051,150094,2259,1119
95064,86250,278,893
95073,96052,1371,181
95118,123250,2120,715
95119,122944,550,210
95122,84335,6190,1759
95124,158484,1978,899
95133,98386,4008,1185
95138,166895,1085,533
95140,-666666666,12,0
95148,143641,2790,1348
95205,39013,9313,1023
95225,85532,133,0
95245,70325,173,48
95249,33138,2188,16
95257,72014,133,0
95307,61287,7510,2215
95320,64508,1452,398
95325,-666666666,0,0
95328,46277,869,72
95336,70084,4870,1615
95337,86414,3954,1154
95370,62578,3015,892
95376,84670,5892,1500
95415,43864,122,54
95430,-666666666,0,0
95436,75417,541,116
95437,46491,2348,503
95441,111198,161,43
95452,92094,118,0
95456,26127,146,10
95457,39875,684,80
95462,45417,93,75
95469,53000,172,8
95472,95417,2367,672
95485,55276,259,54
95490,52406,2228,619
95492,118773,1323,575
95514,60450,0,0
95521,42636,6221,1677
95528,65096,284,128
95540,47392,2682,485
95549,74931,92,58
95552,19750,289,29
95555,33333,116,3
95556,51552,254,0
95559,2499,53,0
95565,32955,168,37
95571,-666666666,0,0
95573,73051,101,0
95585,21875,167,2
95603,72571,3147,425
95627,81563,504,62
95629,-666666666,82,0
95631,84265,648,158
95634,68672,423,234
95640,69648,904,161
95660,50541,7968,694
95667,74324,3465,920
95675,41607,0,37
95677,88897,2261,807
95689,73864,75,32
95691,80916,5984,1119
95701,85294,100,28
95717,49583,40,0
95762,136203,1768,660
95765,107776,1503,736
95816,70448,1739,378
95830,116838,72,5
95834,77404,4157,954
95901,55128,6703,1117
95910,-666666666,0,42
95917,67730,367,191
95944,-666666666,0,0
95945,51530,2891,399
95957,60625,36,15
95962,-666666666,138,0
95965,35668,5093,691
95973,73817,4032,970
95974,-666666666,0,0
95977,62830,111,47
95978,-666666666,51,19
95979,31667,138,0
95986,63750,0,0
95991,54564,6749,1526
96003,57301,7156,1063
96010,35278,2,2
96020,67208,226,14
96033,44167,46,5
96034,43750,55,14
96035,33750,884,80
96038,52375,74,26
96057,43487,118,29
96059,108102,61,11
96062,78684,176,6
96085,53125,23,0
96090,45625,69,2
96094,54451,1140,201
96097,42559,1918,238
96104,41184,77,25
96105,41563,69,12
96106,-666666666,83,47
96107,43750,194,33
96113,49287,140,135
96114,73319,211,109
96117,53125,94,0
96118,53986,192,41
96120,68250,122,29
96124,-666666666,42,15
96134,44550,525,32
91905,42896,351,29
92240,40456,8064,1318
92257,-666666666,700,23
93285,29194,574,41
93311,93200,3674,929
96101,50845,862,203
96133,-666666666,0,0
91934,37422,480,81
92105,48072,18208,3539
92250,49637,1692,502
